Date,Artist,Song,Weeks
9/12/1988,Guns N' Roses,Sweet Child O' Mine,13
9/19/1988,Bobby McFerrin,"Don't Worry, Be Happy (From ""Cocktail"")",9
9/26/1988,Bobby McFerrin,"Don't Worry, Be Happy (From ""Cocktail"")",10
10/3/1988,Def Leppard,Love Bites,9
10/10/1988,UB40,Red Red Wine,25
10/17/1988,Phil Collins,Groovy Kind Of Love,8
10/24/1988,Phil Collins,Groovy Kind Of Love,9
10/31/1988,The Beach Boys,"Kokomo (From""Cocktail"" )",10
11/7/1988,The Escape Club,"Wild, Wild West",13
11/14/1988,Bon Jovi,Bad Medicine,9
11/21/1988,Bon Jovi,Bad Medicine,10
11/28/1988,Will To Power,"Baby, I Love Your Way/Freebird Medley",13
12/5/1988,Chicago,Look Away,12
12/12/1988,Chicago,Look Away,13
12/19/1988,Poison,Every Rose Has Its Thorn,9
12/26/1988,Poison,Every Rose Has Its Thorn,10
1/2/1989,Poison,Every Rose Has Its Thorn,11
1/9/1989,Bobby Brown,My Prerogative,13
1/16/1989,Phil Collins,Two Hearts,10
1/23/1989,Phil Collins,Two Hearts,11
1/30/1989,Sheriff,When I'm With You,18
2/6/1989,Paula Abdul,Straight Up,11
2/13/1989,Paula Abdul,Straight Up,12
2/20/1989,Paula Abdul,Straight Up,13
2/27/1989,Debbie Gibson,Lost In Your Eyes,7
3/6/1989,Debbie Gibson,Lost In Your Eyes,8
3/13/1989,Debbie Gibson,Lost In Your Eyes,9
3/20/1989,Mike + The Mechanics,The Living Years,12
3/27/1989,The Bangles,Eternal Flame,9
4/3/1989,Roxette,The Look,9
4/10/1989,Fine Young Cannibals,She Drives Me Crazy,12
4/17/1989,Madonna,Like A Prayer,6
4/24/1989,Madonna,Like A Prayer,7
5/1/1989,Madonna,Like A Prayer,8
5/8/1989,Bon Jovi,I'll Be There For You,11
5/15/1989,Paula Abdul,Forever Your Girl,11
5/22/1989,Paula Abdul,Forever Your Girl,12
5/29/1989,Michael Damian,"Rock On (From ""Dream A Little Dream"")",12
6/5/1989,Bette Midler,"Wind Beneath My Wings (From ""Beaches"")",15
6/12/1989,New Kids On The Block,I'll Be Loving You (Forever),12
6/19/1989,Richard Marx,Satisfied,8
6/26/1989,Milli Vanilli,Baby Don't Forget My Number,10
7/3/1989,Fine Young Cannibals,Good Thing,10
7/10/1989,Simply Red,If You Don't Know Me By Now,11
7/17/1989,Martika,Toy Soldiers,10
7/24/1989,Martika,Toy Soldiers,11
7/31/1989,Prince,"Batdance (From ""Batman"")",8
8/7/1989,Richard Marx,Right Here Waiting,6
8/14/1989,Richard Marx,Right Here Waiting,7
8/21/1989,Richard Marx,Right Here Waiting,8
8/28/1989,Paula Abdul,Cold Hearted,11
9/4/1989,New Kids On The Block,Hangin' Tough,9
9/11/1989,Gloria Estefan,Don't Wanna Lose You,11
9/18/1989,Milli Vanilli,Girl I'm Gonna Miss You,8
9/25/1989,Milli Vanilli,Girl I'm Gonna Miss You,9
10/2/1989,Janet Jackson,Miss You Much,6
10/9/1989,Janet Jackson,Miss You Much,7
10/16/1989,Janet Jackson,Miss You Much,8
10/23/1989,Janet Jackson,Miss You Much,9
10/30/1989,Roxette,Listen To Your Heart,11
11/6/1989,Bad English,When I See You Smile,9
11/13/1989,Bad English,When I See You Smile,10
11/20/1989,Milli Vanilli,Blame It On The Rain,8
11/27/1989,Milli Vanilli,Blame It On The Rain,9
12/4/1989,Billy Joel,We Didn't Start The Fire,9
12/11/1989,Billy Joel,We Didn't Start The Fire,10
12/18/1989,Phil Collins,Another Day In Paradise,8
12/25/1989,Phil Collins,Another Day In Paradise,9
1/1/1990,Phil Collins,Another Day In Paradise,10
1/8/1990,Phil Collins,Another Day In Paradise,11
