Date,Artist,Song,Weeks
10/16/1995,Mariah Carey,Fantasy,4
10/23/1995,Mariah Carey,Fantasy,5
10/30/1995,Mariah Carey,Fantasy,6
11/6/1995,Mariah Carey,Fantasy,7
11/13/1995,Mariah Carey,Fantasy,8
11/20/1995,Whitney Houston,"Exhale (Shoop Shoop) (From ""Waiting To Exhale"")",1
11/27/1995,Mariah Carey & Boyz II Men,One Sweet Day,1
12/4/1995,Mariah Carey & Boyz II Men,One Sweet Day,2
12/11/1995,Mariah Carey & Boyz II Men,One Sweet Day,3
12/18/1995,Mariah Carey & Boyz II Men,One Sweet Day,4
12/25/1995,Mariah Carey & Boyz II Men,One Sweet Day,5
1/1/1996,Mariah Carey & Boyz II Men,One Sweet Day,6
1/8/1996,Mariah Carey & Boyz II Men,One Sweet Day,7
1/15/1996,Mariah Carey & Boyz II Men,One Sweet Day,8
1/22/1996,Mariah Carey & Boyz II Men,One Sweet Day,9
1/29/1996,Mariah Carey & Boyz II Men,One Sweet Day,10
2/5/1996,Mariah Carey & Boyz II Men,One Sweet Day,11
2/12/1996,Mariah Carey & Boyz II Men,One Sweet Day,12
2/19/1996,Mariah Carey & Boyz II Men,One Sweet Day,13
2/26/1996,Mariah Carey & Boyz II Men,One Sweet Day,14
3/4/1996,Mariah Carey & Boyz II Men,One Sweet Day,15
3/11/1996,Mariah Carey & Boyz II Men,One Sweet Day,16
3/18/1996,Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")",3
3/25/1996,Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")",4
4/1/1996,Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")",5
4/8/1996,Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")",6
4/15/1996,Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")",7
4/22/1996,Celine Dion,"Because You Loved Me (From ""Up Close & Personal"")",8
4/29/1996,Mariah Carey,Always Be My Baby,5
5/6/1996,Mariah Carey,Always Be My Baby,6
5/13/1996,Bone Thugs-N-Harmony,Tha Crossroads,2
5/20/1996,Bone Thugs-N-Harmony,Tha Crossroads,3
5/27/1996,Bone Thugs-N-Harmony,Tha Crossroads,4
6/3/1996,Bone Thugs-N-Harmony,Tha Crossroads,5
6/10/1996,Bone Thugs-N-Harmony,Tha Crossroads,6
6/17/1996,Bone Thugs-N-Harmony,Tha Crossroads,7
6/24/1996,Bone Thugs-N-Harmony,Tha Crossroads,8
7/1/1996,Bone Thugs-N-Harmony,Tha Crossroads,9
7/8/1996,2Pac Featuring K-Ci And JoJo,How Do U Want It/California Love,5
7/15/1996,2Pac Featuring K-Ci And JoJo,How Do U Want It/California Love,6
7/22/1996,Toni Braxton,You're Makin' Me High/Let It Flow,8
7/29/1996,Los Del Rio,Macarena (Bayside Boys Mix),33
8/5/1996,Los Del Rio,Macarena (Bayside Boys Mix),34
8/12/1996,Los Del Rio,Macarena (Bayside Boys Mix),35
8/19/1996,Los Del Rio,Macarena (Bayside Boys Mix),36
8/26/1996,Los Del Rio,Macarena (Bayside Boys Mix),37
9/2/1996,Los Del Rio,Macarena (Bayside Boys Mix),38
9/9/1996,Los Del Rio,Macarena (Bayside Boys Mix),39
9/16/1996,Los Del Rio,Macarena (Bayside Boys Mix),40
9/23/1996,Los Del Rio,Macarena (Bayside Boys Mix),41
9/30/1996,Los Del Rio,Macarena (Bayside Boys Mix),42
10/7/1996,Los Del Rio,Macarena (Bayside Boys Mix),43
10/14/1996,Los Del Rio,Macarena (Bayside Boys Mix),44
10/21/1996,Los Del Rio,Macarena (Bayside Boys Mix),45
10/28/1996,Los Del Rio,Macarena (Bayside Boys Mix),46
11/4/1996,BLACKstreet (Featuring Dr. Dre),No Diggity,5
11/11/1996,BLACKstreet (Featuring Dr. Dre),No Diggity,6
11/18/1996,BLACKstreet (Featuring Dr. Dre),No Diggity,7
11/25/1996,BLACKstreet (Featuring Dr. Dre),No Diggity,8
12/2/1996,Toni Braxton,Un-Break My Heart,7
12/9/1996,Toni Braxton,Un-Break My Heart,8
12/16/1996,Toni Braxton,Un-Break My Heart,9
12/23/1996,Toni Braxton,Un-Break My Heart,10
12/30/1996,Toni Braxton,Un-Break My Heart,11
1/6/1997,Toni Braxton,Un-Break My Heart,12
1/13/1997,Toni Braxton,Un-Break My Heart,13
1/20/1997,Toni Braxton,Un-Break My Heart,14
1/27/1997,Toni Braxton,Un-Break My Heart,15
2/3/1997,Toni Braxton,Un-Break My Heart,16
2/10/1997,Toni Braxton,Un-Break My Heart,17
2/17/1997,Spice Girls,Wannabe,5
2/24/1997,Spice Girls,Wannabe,6
3/3/1997,Spice Girls,Wannabe,7
3/10/1997,Spice Girls,Wannabe,8
3/17/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down,9
3/24/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down,10
3/31/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down,11
4/7/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down,12
4/14/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down,13
4/21/1997,Puff Daddy (Featuring Mase),Can't Nobody Hold Me Down,14
4/28/1997,The Notorious B.I.G.,Hypnotize,2
5/5/1997,The Notorious B.I.G.,Hypnotize,3
5/12/1997,The Notorious B.I.G.,Hypnotize,4
5/19/1997,Hanson,MMMBop,4
5/26/1997,Hanson,MMMBop,5
6/2/1997,Hanson,MMMBop,6
6/9/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,1
6/16/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,2
6/23/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,3
6/30/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,4
7/7/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,5
7/14/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,6
7/21/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,7
7/28/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,8
8/4/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,9
8/11/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,10
8/18/1997,Puff Daddy & Faith Evans Featuring 112,I'll Be Missing You,11
8/25/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems,5
9/1/1997,The Notorious B.I.G. Featuring Puff Daddy & Mase,Mo Money Mo Problems,6
9/8/1997,Mariah Carey,Honey,1
9/15/1997,Mariah Carey,Honey,2
9/22/1997,Mariah Carey,Honey,3
9/29/1997,Boyz II Men,4 Seasons Of Loneliness,2
10/6/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,1
10/13/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,2
10/20/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,3
10/27/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,4
11/3/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,5
11/10/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,6
11/17/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,7
11/24/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,8
12/1/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,9
12/8/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,10
12/15/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,11
12/22/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,12
12/29/1997,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,13
1/5/1998,Elton John,Candle In The Wind 1997/Something About The Way You Look Tonight,14
1/12/1998,Savage Garden,Truly Madly Deeply,7
1/19/1998,Savage Garden,Truly Madly Deeply,8
1/26/1998,Janet,Together Again,7
2/2/1998,Janet,Together Again,8
2/9/1998,Usher,Nice & Slow,4
2/16/1998,Usher,Nice & Slow,5
2/23/1998,Celine Dion,My Heart Will Go On,1
3/2/1998,Celine Dion,My Heart Will Go On,2
3/9/1998,Will Smith,Gettin' Jiggy Wit It,3
3/16/1998,Will Smith,Gettin' Jiggy Wit It,4
3/23/1998,Will Smith,Gettin' Jiggy Wit It,5
3/30/1998,K-Ci & JoJo,All My Life,2
4/6/1998,K-Ci & JoJo,All My Life,3
4/13/1998,K-Ci & JoJo,All My Life,4
4/20/1998,Next,Too Close,11
4/27/1998,Next,Too Close,12
5/4/1998,Next,Too Close,13
5/11/1998,Next,Too Close,14
5/18/1998,Mariah Carey,My All,3
5/25/1998,Next,Too Close,16
6/1/1998,Brandy & Monica,The Boy Is Mine,2
6/8/1998,Brandy & Monica,The Boy Is Mine,3
6/15/1998,Brandy & Monica,The Boy Is Mine,4
6/22/1998,Brandy & Monica,The Boy Is Mine,5
6/29/1998,Brandy & Monica,The Boy Is Mine,6
7/6/1998,Brandy & Monica,The Boy Is Mine,7
7/13/1998,Brandy & Monica,The Boy Is Mine,8
7/20/1998,Brandy & Monica,The Boy Is Mine,9
7/27/1998,Brandy & Monica,The Boy Is Mine,10
8/3/1998,Brandy & Monica,The Boy Is Mine,11
8/10/1998,Brandy & Monica,The Boy Is Mine,12
8/17/1998,Brandy & Monica,The Boy Is Mine,13
8/24/1998,Brandy & Monica,The Boy Is Mine,14
8/31/1998,Aerosmith,I Don't Want To Miss A Thing,1
9/7/1998,Aerosmith,I Don't Want To Miss A Thing,2
9/14/1998,Aerosmith,I Don't Want To Miss A Thing,3
9/21/1998,Aerosmith,I Don't Want To Miss A Thing,4
9/28/1998,Monica,The First Night,8
10/5/1998,Monica,The First Night,9
10/12/1998,Barenaked Ladies,One Week,3
10/19/1998,Monica,The First Night,11
10/26/1998,Monica,The First Night,12
11/2/1998,Monica,The First Night,13
11/9/1998,Lauryn Hill,Doo Wop (That Thing),1
11/16/1998,Lauryn Hill,Doo Wop (That Thing),2
11/23/1998,Divine,Lately,12
11/30/1998,R. Kelly & Celine Dion,I'm Your Angel,1
12/7/1998,R. Kelly & Celine Dion,I'm Your Angel,2
12/14/1998,R. Kelly & Celine Dion,I'm Your Angel,3
12/21/1998,R. Kelly & Celine Dion,I'm Your Angel,4
12/28/1998,R. Kelly & Celine Dion,I'm Your Angel,5
1/4/1999,R. Kelly & Celine Dion,I'm Your Angel,6
1/11/1999,Brandy,Have You Ever?,7
1/18/1999,Brandy,Have You Ever?,8
1/25/1999,Britney Spears,...Baby One More Time,11
2/1/1999,Britney Spears,...Baby One More Time,12
2/8/1999,Monica,Angel Of Mine,11
2/15/1999,Monica,Angel Of Mine,12
2/22/1999,Monica,Angel Of Mine,13
3/1/1999,Monica,Angel Of Mine,14
3/8/1999,Cher,Believe,13
3/15/1999,Cher,Believe,14
3/22/1999,Cher,Believe,15
3/29/1999,Cher,Believe,16
4/5/1999,TLC,No Scrubs,8
4/12/1999,TLC,No Scrubs,9
4/19/1999,TLC,No Scrubs,10
4/26/1999,TLC,No Scrubs,11
5/3/1999,Ricky Martin,Livin' La Vida Loca,4
5/10/1999,Ricky Martin,Livin' La Vida Loca,5
5/17/1999,Ricky Martin,Livin' La Vida Loca,6
5/24/1999,Ricky Martin,Livin' La Vida Loca,7
5/31/1999,Ricky Martin,Livin' La Vida Loca,8
6/7/1999,Jennifer Lopez,If You Had My Love,5
6/14/1999,Jennifer Lopez,If You Had My Love,6
6/21/1999,Jennifer Lopez,If You Had My Love,7
6/28/1999,Jennifer Lopez,If You Had My Love,8
7/5/1999,Jennifer Lopez,If You Had My Love,9
7/12/1999,Destiny's Child,"Bills, Bills, Bills",5
7/19/1999,Will Smith Featuring Dru Hill & Kool Mo Dee,Wild Wild West,10
7/26/1999,Christina Aguilera,Genie In A Bottle,5
8/2/1999,Christina Aguilera,Genie In A Bottle,6
8/9/1999,Christina Aguilera,Genie In A Bottle,7
8/16/1999,Christina Aguilera,Genie In A Bottle,8
8/23/1999,Christina Aguilera,Genie In A Bottle,9
8/30/1999,Enrique Iglesias,Bailamos,9
9/6/1999,Enrique Iglesias,Bailamos,10
9/13/1999,TLC,Unpretty,13
9/20/1999,TLC,Unpretty,14
9/27/1999,TLC,Unpretty,15
10/4/1999,Mariah Carey Featuring Jay-Z,Heartbreaker,6
10/11/1999,Mariah Carey Featuring Jay-Z,Heartbreaker,7
10/18/1999,Santana Featuring Rob Thomas,Smooth,13
10/25/1999,Santana Featuring Rob Thomas,Smooth,14
11/1/1999,Santana Featuring Rob Thomas,Smooth,15
11/8/1999,Santana Featuring Rob Thomas,Smooth,16
11/15/1999,Santana Featuring Rob Thomas,Smooth,17
11/22/1999,Santana Featuring Rob Thomas,Smooth,18
11/29/1999,Santana Featuring Rob Thomas,Smooth,19
12/6/1999,Santana Featuring Rob Thomas,Smooth,20
12/13/1999,Santana Featuring Rob Thomas,Smooth,21
12/20/1999,Santana Featuring Rob Thomas,Smooth,22
12/27/1999,Santana Featuring Rob Thomas,Smooth,23
1/3/2000,Santana Featuring Rob Thomas,Smooth,24
1/10/2000,Christina Aguilera,What A Girl Wants,8
1/17/2000,Christina Aguilera,What A Girl Wants,9
1/24/2000,Savage Garden,I Knew I Loved You,15
1/31/2000,Savage Garden,I Knew I Loved You,16
2/7/2000,Savage Garden,I Knew I Loved You,17
2/14/2000,Mariah Carey Featuring Joe & 98 Degrees,Thank God I Found You,11
2/21/2000,Savage Garden,I Knew I Loved You,19
2/28/2000,Lonestar,Amazed,31
3/6/2000,Lonestar,Amazed,32
3/13/2000,Destiny's Child,Say My Name,13
3/20/2000,Destiny's Child,Say My Name,14
3/27/2000,Destiny's Child,Say My Name,15
4/3/2000,Santana Featuring The Product G&B,Maria Maria,9
4/10/2000,Santana Featuring The Product G&B,Maria Maria,10
4/17/2000,Santana Featuring The Product G&B,Maria Maria,11
4/24/2000,Santana Featuring The Product G&B,Maria Maria,12
5/1/2000,Santana Featuring The Product G&B,Maria Maria,13
5/8/2000,Santana Featuring The Product G&B,Maria Maria,14
5/15/2000,Santana Featuring The Product G&B,Maria Maria,15
5/22/2000,Santana Featuring The Product G&B,Maria Maria,16
5/29/2000,Santana Featuring The Product G&B,Maria Maria,17
6/5/2000,Santana Featuring The Product G&B,Maria Maria,18
6/12/2000,Aaliyah,Try Again,14
6/19/2000,Enrique Iglesias,Be With You,13
6/26/2000,Enrique Iglesias,Be With You,14
7/3/2000,Enrique Iglesias,Be With You,15
7/10/2000,Vertical Horizon,Everything You Want,26
7/17/2000,matchbox twenty,Bent,13
7/24/2000,'N Sync,It's Gonna Be Me,13
7/31/2000,'N Sync,It's Gonna Be Me,14
8/7/2000,Sisqo,Incomplete,8
8/14/2000,Sisqo,Incomplete,9
8/21/2000,Janet,Doesn't Really Matter,11
8/28/2000,Janet,Doesn't Really Matter,12
9/4/2000,Janet,Doesn't Really Matter,13
9/11/2000,Madonna,Music,6
9/18/2000,Madonna,Music,7
9/25/2000,Madonna,Music,8
10/2/2000,Madonna,Music,9
10/9/2000,Christina Aguilera,Come On Over Baby (All I Want Is You),11
10/16/2000,Christina Aguilera,Come On Over Baby (All I Want Is You),12
10/23/2000,Christina Aguilera,Come On Over Baby (All I Want Is You),13
10/30/2000,Christina Aguilera,Come On Over Baby (All I Want Is You),14
11/6/2000,Creed,With Arms Wide Open,27
11/13/2000,Destiny's Child,Independent Women Part I,9
11/20/2000,Destiny's Child,Independent Women Part I,10
11/27/2000,Destiny's Child,Independent Women Part I,11
12/4/2000,Destiny's Child,Independent Women Part I,12
12/11/2000,Destiny's Child,Independent Women Part I,13
12/18/2000,Destiny's Child,Independent Women Part I,14
12/25/2000,Destiny's Child,Independent Women Part I,15
1/1/2001,Destiny's Child,Independent Women Part I,16
1/8/2001,Destiny's Child,Independent Women Part I,17
1/15/2001,Destiny's Child,Independent Women Part I,18
1/22/2001,Destiny's Child,Independent Women Part I,19
1/29/2001,"Shaggy Feat. Ricardo ""RikRok"" Ducent",It Wasn't Me,14
2/5/2001,"Shaggy Feat. Ricardo ""RikRok"" Ducent",It Wasn't Me,15
2/12/2001,OutKast,Ms. Jackson,15
2/19/2001,Joe Featuring Mystikal,Stutter,8
2/26/2001,Joe Featuring Mystikal,Stutter,9
3/5/2001,Joe Featuring Mystikal,Stutter,10
3/12/2001,Joe Featuring Mystikal,Stutter,11
3/19/2001,Crazy Town,Butterfly,12
3/26/2001,Shaggy Featuring Rayvon,Angel,14
4/2/2001,Crazy Town,Butterfly,14
4/9/2001,Janet,All For You,5
4/16/2001,Janet,All For You,6
4/23/2001,Janet,All For You,7
4/30/2001,Janet,All For You,8
5/7/2001,Janet,All For You,9
5/14/2001,Janet,All For You,10
5/21/2001,Janet,All For You,11
5/28/2001,"Christina Aguilera, Lil' Kim, Mya & P!nk",Lady Marmalade,8
6/4/2001,"Christina Aguilera, Lil' Kim, Mya & P!nk",Lady Marmalade,9
6/11/2001,"Christina Aguilera, Lil' Kim, Mya & P!nk",Lady Marmalade,10
6/18/2001,"Christina Aguilera, Lil' Kim, Mya & P!nk",Lady Marmalade,11
6/25/2001,"Christina Aguilera, Lil' Kim, Mya & P!nk",Lady Marmalade,12
7/2/2001,Usher,U Remind Me,4
7/9/2001,Usher,U Remind Me,5
7/16/2001,Usher,U Remind Me,6
7/23/2001,Usher,U Remind Me,7
7/30/2001,Destiny's Child,Bootylicious,9
8/6/2001,Destiny's Child,Bootylicious,10
8/13/2001,Alicia Keys,Fallin',10
8/20/2001,Alicia Keys,Fallin',11
8/27/2001,Alicia Keys,Fallin',12
9/3/2001,Jennifer Lopez Featuring Ja Rule,I'm Real,10
9/10/2001,Jennifer Lopez Featuring Ja Rule,I'm Real,11
9/17/2001,Jennifer Lopez Featuring Ja Rule,I'm Real,12
9/24/2001,Alicia Keys,Fallin',16
10/1/2001,Alicia Keys,Fallin',17
10/8/2001,Alicia Keys,Fallin',18
10/15/2001,Jennifer Lopez Featuring Ja Rule,I'm Real,16
10/22/2001,Jennifer Lopez Featuring Ja Rule,I'm Real,17
10/29/2001,Mary J. Blige,Family Affair,15
11/5/2001,Mary J. Blige,Family Affair,16
11/12/2001,Mary J. Blige,Family Affair,17
11/19/2001,Mary J. Blige,Family Affair,18
11/26/2001,Mary J. Blige,Family Affair,19
12/3/2001,Mary J. Blige,Family Affair,20
12/10/2001,Usher,U Got It Bad,13
12/17/2001,Nickelback,How You Remind Me,16
12/24/2001,Nickelback,How You Remind Me,17
12/31/2001,Nickelback,How You Remind Me,18
1/7/2002,Nickelback,How You Remind Me,19
1/14/2002,Usher,U Got It Bad,18
1/21/2002,Usher,U Got It Bad,19
1/28/2002,Usher,U Got It Bad,20
2/4/2002,Usher,U Got It Bad,21
2/11/2002,Usher,U Got It Bad,22
2/18/2002,Ja Rule Featuring Ashanti,Always On Time,15
2/25/2002,Ja Rule Featuring Ashanti,Always On Time,16
3/4/2002,Jennifer Lopez Featuring Ja Rule,Ain't It Funny,11
3/11/2002,Jennifer Lopez Featuring Ja Rule,Ain't It Funny,12
3/18/2002,Jennifer Lopez Featuring Ja Rule,Ain't It Funny,13
3/25/2002,Jennifer Lopez Featuring Ja Rule,Ain't It Funny,14
4/1/2002,Jennifer Lopez Featuring Ja Rule,Ain't It Funny,15
4/8/2002,Jennifer Lopez Featuring Ja Rule,Ain't It Funny,16
4/15/2002,Ashanti,Foolish,10
4/22/2002,Ashanti,Foolish,11
4/29/2002,Ashanti,Foolish,12
5/6/2002,Ashanti,Foolish,13
5/13/2002,Ashanti,Foolish,14
5/20/2002,Ashanti,Foolish,15
5/27/2002,Ashanti,Foolish,16
6/3/2002,Ashanti,Foolish,17
6/10/2002,Ashanti,Foolish,18
6/17/2002,Ashanti,Foolish,19
6/24/2002,Nelly,Hot In Herre,9
7/1/2002,Nelly,Hot In Herre,10
7/8/2002,Nelly,Hot In Herre,11
7/15/2002,Nelly,Hot In Herre,12
7/22/2002,Nelly,Hot In Herre,13
7/29/2002,Nelly,Hot In Herre,14
8/5/2002,Nelly,Hot In Herre,15
8/12/2002,Nelly Featuring Kelly Rowland,Dilemma,6
8/19/2002,Nelly Featuring Kelly Rowland,Dilemma,7
8/26/2002,Nelly Featuring Kelly Rowland,Dilemma,8
9/2/2002,Nelly Featuring Kelly Rowland,Dilemma,9
9/9/2002,Nelly Featuring Kelly Rowland,Dilemma,10
9/16/2002,Nelly Featuring Kelly Rowland,Dilemma,11
9/23/2002,Nelly Featuring Kelly Rowland,Dilemma,12
9/30/2002,Kelly Clarkson,A Moment Like This,3
10/7/2002,Kelly Clarkson,A Moment Like This,4
10/14/2002,Nelly Featuring Kelly Rowland,Dilemma,15
10/21/2002,Nelly Featuring Kelly Rowland,Dilemma,16
10/28/2002,Nelly Featuring Kelly Rowland,Dilemma,17
11/4/2002,Eminem,Lose Yourself,6
11/11/2002,Eminem,Lose Yourself,7
11/18/2002,Eminem,Lose Yourself,8
11/25/2002,Eminem,Lose Yourself,9
12/2/2002,Eminem,Lose Yourself,10
12/9/2002,Eminem,Lose Yourself,11
12/16/2002,Eminem,Lose Yourself,12
12/23/2002,Eminem,Lose Yourself,13
12/30/2002,Eminem,Lose Yourself,14
1/6/2003,Eminem,Lose Yourself,15
1/13/2003,Eminem,Lose Yourself,16
1/20/2003,Eminem,Lose Yourself,17
1/27/2003,B2K & P. Diddy,"Bump, Bump, Bump",10
2/3/2003,Jennifer Lopez Featuring LL Cool J,All I Have,7
2/10/2003,Jennifer Lopez Featuring LL Cool J,All I Have,8
2/17/2003,Jennifer Lopez Featuring LL Cool J,All I Have,9
2/24/2003,Jennifer Lopez Featuring LL Cool J,All I Have,10
3/3/2003,50 Cent,In Da Club,9
3/10/2003,50 Cent,In Da Club,10
3/17/2003,50 Cent,In Da Club,11
3/24/2003,50 Cent,In Da Club,12
3/31/2003,50 Cent,In Da Club,13
4/7/2003,50 Cent,In Da Club,14
4/14/2003,50 Cent,In Da Club,15
4/21/2003,50 Cent,In Da Club,16
4/28/2003,50 Cent,In Da Club,17
5/5/2003,Sean Paul,Get Busy,12
5/12/2003,Sean Paul,Get Busy,13
5/19/2003,Sean Paul,Get Busy,14
5/26/2003,50 Cent Featuring Nate Dogg,21 Questions,11
6/2/2003,50 Cent Featuring Nate Dogg,21 Questions,12
6/9/2003,50 Cent Featuring Nate Dogg,21 Questions,13
6/16/2003,50 Cent Featuring Nate Dogg,21 Questions,14
6/23/2003,Clay Aiken,This Is The Night,1
6/30/2003,Clay Aiken,This Is The Night,2
7/7/2003,Beyonce Featuring Jay Z,Crazy In Love,8
7/14/2003,Beyonce Featuring Jay Z,Crazy In Love,9
7/21/2003,Beyonce Featuring Jay Z,Crazy In Love,10
7/28/2003,Beyonce Featuring Jay Z,Crazy In Love,11
8/4/2003,Beyonce Featuring Jay Z,Crazy In Love,12
8/11/2003,Beyonce Featuring Jay Z,Crazy In Love,13
8/18/2003,Beyonce Featuring Jay Z,Crazy In Love,14
8/25/2003,Beyonce Featuring Jay Z,Crazy In Love,15
9/1/2003,"Nelly, P. Diddy & Murphy Lee",Shake Ya Tailfeather,11
9/8/2003,"Nelly, P. Diddy & Murphy Lee",Shake Ya Tailfeather,12
9/15/2003,"Nelly, P. Diddy & Murphy Lee",Shake Ya Tailfeather,13
9/22/2003,"Nelly, P. Diddy & Murphy Lee",Shake Ya Tailfeather,14
9/29/2003,Beyonce Featuring Sean Paul,Baby Boy,8
10/6/2003,Beyonce Featuring Sean Paul,Baby Boy,9
10/13/2003,Beyonce Featuring Sean Paul,Baby Boy,10
10/20/2003,Beyonce Featuring Sean Paul,Baby Boy,11
10/27/2003,Beyonce Featuring Sean Paul,Baby Boy,12
11/3/2003,Beyonce Featuring Sean Paul,Baby Boy,13
11/10/2003,Beyonce Featuring Sean Paul,Baby Boy,14
11/17/2003,Beyonce Featuring Sean Paul,Baby Boy,15
11/24/2003,Beyonce Featuring Sean Paul,Baby Boy,16
12/1/2003,Ludacris Featuring Shawnna,Stand Up,14
12/8/2003,OutKast,Hey Ya!,9
12/15/2003,OutKast,Hey Ya!,10
12/22/2003,OutKast,Hey Ya!,11
12/29/2003,OutKast,Hey Ya!,12
1/5/2004,OutKast,Hey Ya!,13
1/12/2004,OutKast,Hey Ya!,14
1/19/2004,OutKast,Hey Ya!,15
1/26/2004,OutKast,Hey Ya!,16
2/2/2004,OutKast,Hey Ya!,17
2/9/2004,OutKast Featuring Sleepy Brown,The Way You Move,21
2/16/2004,Twista Featuring Kanye West & Jamie Foxx,Slow Jamz,12
2/23/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,8
3/1/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,9
3/8/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,10
3/15/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,11
3/22/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,12
3/29/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,13
4/5/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,14
4/12/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,15
4/19/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,16
4/26/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,17
5/3/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,18
5/10/2004,Usher Featuring Lil Jon & Ludacris,Yeah!,19
5/17/2004,Usher,Burn,11
5/24/2004,Usher,Burn,12
5/31/2004,Usher,Burn,13
6/7/2004,Usher,Burn,14
6/14/2004,Usher,Burn,15
6/21/2004,Usher,Burn,16
6/28/2004,Usher,Burn,17
7/5/2004,Fantasia,I Believe,1
7/12/2004,Usher,Burn,19
7/19/2004,Usher,Confessions Part II,13
7/26/2004,Usher,Confessions Part II,14
8/2/2004,Juvenile Featuring Soulja Slim,Slow Motion,15
8/9/2004,Juvenile Featuring Soulja Slim,Slow Motion,16
8/16/2004,Terror Squad,Lean Back,9
8/23/2004,Terror Squad,Lean Back,10
8/30/2004,Terror Squad,Lean Back,11
9/6/2004,Ciara Featuring Petey Pablo,Goodies,12
9/13/2004,Ciara Featuring Petey Pablo,Goodies,13
9/20/2004,Ciara Featuring Petey Pablo,Goodies,14
9/27/2004,Ciara Featuring Petey Pablo,Goodies,15
10/4/2004,Ciara Featuring Petey Pablo,Goodies,16
10/11/2004,Ciara Featuring Petey Pablo,Goodies,17
10/18/2004,Ciara Featuring Petey Pablo,Goodies,18
10/25/2004,Usher And Alicia Keys,My Boo,8
11/1/2004,Usher And Alicia Keys,My Boo,9
11/8/2004,Usher And Alicia Keys,My Boo,10
11/15/2004,Usher And Alicia Keys,My Boo,11
11/22/2004,Usher And Alicia Keys,My Boo,12
11/29/2004,Usher And Alicia Keys,My Boo,13
12/6/2004,Snoop Dogg Featuring Pharrell,Drop It Like It's Hot,11
12/13/2004,Snoop Dogg Featuring Pharrell,Drop It Like It's Hot,12
12/20/2004,Snoop Dogg Featuring Pharrell,Drop It Like It's Hot,13
12/27/2004,Mario,Let Me Love You,11
1/3/2005,Mario,Let Me Love You,12
1/10/2005,Mario,Let Me Love You,13
1/17/2005,Mario,Let Me Love You,14
1/24/2005,Mario,Let Me Love You,15
1/31/2005,Mario,Let Me Love You,16
2/7/2005,Mario,Let Me Love You,17
2/14/2005,Mario,Let Me Love You,18
2/21/2005,Mario,Let Me Love You,19
2/28/2005,50 Cent Featuring Olivia,Candy Shop,5
3/7/2005,50 Cent Featuring Olivia,Candy Shop,6
3/14/2005,50 Cent Featuring Olivia,Candy Shop,7
3/21/2005,50 Cent Featuring Olivia,Candy Shop,8
3/28/2005,50 Cent Featuring Olivia,Candy Shop,9
4/4/2005,50 Cent Featuring Olivia,Candy Shop,10
