Country,count
Argentina,1
Australia,1
Austria,170
Brazil,7
China,5
France,295
Germany,188
India,15155
Israel,195
Kazakhstan,11
Romania,2
Russia,28
South Korea,6
Turkey,4496
United Kingdom,8
